complaint_date,borough,total_complaints,high_severity_complaints,medium_severity_complaints,other_severity_complaints,weekend_complaints,total_complaints_ma7
2024-12-22,(Null),2,0,0,0,2,4.71
2024-12-28,(Null),2,0,0,0,2,2.29
2024-07-27,(Null),2,0,0,0,2,3.57
2024-10-30,(Null),2,0,0,0,0,3.71
2024-12-30,(Null),2,0,0,0,0,2.43
2023-08-08,(Null),2,0,0,0,0,3.0
2023-09-16,(Null),2,0,0,0,2,3.43
2023-10-17,(Null),2,0,0,0,0,4.43
2024-08-16,(Null),2,0,0,0,0,3.43
2023-09-28,(Null),2,0,0,0,0,3.0
2023-07-16,(Null),2,0,0,0,2,3.43
2024-05-19,(Null),2,0,0,0,2,2.29
2023-06-05,(Null),2,0,0,0,0,3.0
2023-01-25,(Null),2,0,0,0,0,2.14
2024-06-09,(Null),2,0,0,0,2,3.29
2024-05-05,(Null),2,0,0,0,2,1.86
2023-08-14,(Null),2,0,0,0,0,2.43
2023-09-03,(Null),2,0,0,0,2,2.86
2022-12-17,(Null),2,0,0,0,2,2.14
2023-04-24,(Null),2,0,0,0,0,2.71
2024-09-25,(Null),2,0,0,0,0,2.86
2023-01-18,(Null),2,0,0,0,0,3.29
2024-10-16,(Null),3,0,0,0,0,3.29
2022-12-12,(Null),3,0,0,0,0,3.86
2023-08-24,(Null),3,0,0,0,0,3.14
2024-10-26,(Null),3,0,0,0,3,4.29
2023-01-29,(Null),3,0,0,0,3,2.29
2023-02-15,(Null),3,0,0,0,0,2.43
2023-01-04,(Null),3,0,0,0,0,2.71
2023-09-21,(Null),3,0,0,0,0,2.71
2024-05-18,(Null),3,0,0,0,3,2.57
2022-12-11,(Null),3,0,0,0,3,3.71
2023-02-27,(Null),3,0,0,0,0,2.57
2024-10-02,(Null),3,0,0,0,0,2.57
2024-11-15,(Null),3,0,0,0,0,2.86
2024-07-08,(Null),3,0,0,0,0,8.43
2024-07-17,(Null),3,0,0,0,0,4.29
2023-05-31,(Null),3,0,0,0,0,3.14
2023-05-17,(Null),3,0,0,0,0,2.29
2024-10-13,(Null),3,0,0,0,3,3.0
2024-11-14,(Null),3,0,0,0,0,2.86
2023-01-11,(Null),3,0,0,0,0,2.71
2023-08-12,(Null),3,0,0,0,3,2.57
2023-09-11,(Null),3,0,0,0,0,2.57
2024-08-23,(Null),3,0,0,0,0,3.0
2023-08-03,(Null),3,0,0,0,0,3.86
2024-11-28,(Null),3,0,0,0,0,3.14
2023-07-03,(Null),3,0,0,0,0,4.14
2023-09-07,(Null),3,0,0,0,0,2.86
2024-11-16,(Null),3,0,0,0,3,2.86
2024-12-13,(Null),3,0,0,0,0,5.29
2023-10-02,(Null),3,0,0,0,0,2.14
2023-08-05,(Null),3,0,0,0,3,3.14
2024-07-22,(Null),3,0,0,0,0,3.0
2023-03-17,(Null),3,0,0,0,0,2.86
2023-04-04,(Null),3,0,0,0,0,1.57
2023-05-26,(Null),3,0,0,0,0,2.14
2023-06-15,(Null),3,0,0,0,0,2.71
2023-10-21,(Null),3,0,0,0,3,3.14
2023-01-20,(Null),3,0,0,0,0,2.43
2023-04-19,(Null),3,0,0,0,0,2.86
2023-07-18,(Null),3,0,0,0,0,3.57
2023-07-17,(Null),3,0,0,0,0,3.71
2024-06-18,(Null),3,0,0,0,0,2.86
2023-11-02,(Null),3,0,0,0,0,2.43
2024-12-17,(Null),3,0,0,0,0,5.14
2024-04-26,(Null),3,0,0,0,0,1.43
2024-05-20,(Null),3,0,0,0,0,2.14
2023-03-16,(Null),3,0,0,0,0,2.71
2024-07-16,(Null),3,0,0,0,0,4.43
2023-06-28,(Null),3,0,0,0,0,3.71
2024-07-26,(Null),3,0,0,0,0,3.57
2024-08-14,(Null),3,0,0,0,0,2.86
2024-10-31,(Null),3,0,0,0,0,4.0
2024-05-14,(Null),3,0,0,0,0,3.43
2023-02-21,(Null),3,0,0,0,0,2.57
2023-05-28,(Null),3,0,0,0,3,2.86
2023-03-02,(Null),3,0,0,0,0,2.57
2023-07-22,(Null),3,0,0,0,3,3.14
2023-08-15,(Null),3,0,0,0,0,2.57
2023-04-18,(Null),3,0,0,0,0,2.57
2023-08-23,(Null),3,0,0,0,0,3.71
2023-07-09,(Null),3,0,0,0,3,3.71
2024-11-20,(Null),3,0,0,0,0,3.0
2024-07-23,(Null),3,0,0,0,0,3.14
2023-03-31,(Null),3,0,0,0,0,1.71
2024-09-10,(Null),3,0,0,0,0,5.14
2023-04-12,(Null),3,0,0,0,0,2.14
2023-09-09,(Null),3,0,0,0,3,2.71
2023-11-10,(Null),3,0,0,0,0,3.86
2023-01-10,(Null),3,0,0,0,0,2.71
2023-02-13,(Null),3,0,0,0,0,2.71
2023-03-18,(Null),3,0,0,0,3,3.0
2023-06-11,(Null),3,0,0,0,3,2.29
2023-02-25,(Null),3,0,0,0,3,2.29
2023-09-14,(Null),3,0,0,0,0,3.0
2022-12-27,(Null),3,0,0,0,0,2.71
2022-12-31,(Null),3,0,0,0,3,2.71
2023-10-08,(Null),3,0,0,0,3,3.57
2023-02-04,(Null),3,0,0,0,3,3.14
2023-10-09,(Null),3,0,0,0,0,3.57
2024-05-25,(Null),3,0,0,0,3,2.14
2023-11-18,(Null),3,0,0,0,3,2.86
2023-12-03,(Null),3,0,0,0,3,5.0
2023-11-08,(Null),3,0,0,0,0,4.29
2023-08-01,(Null),3,0,0,0,0,4.0
2024-11-08,(Null),3,0,0,0,0,3.0
2022-12-06,(Null),3,0,0,0,0,3.14
2024-10-11,(Null),3,0,0,0,0,2.86
2023-06-25,(Null),3,0,0,0,3,4.0
2024-11-29,(Null),3,0,0,0,0,3.14
2022-11-19,(Null),3,0,0,0,3,5.0
2024-10-10,(Null),3,0,0,0,0,2.86
2024-11-09,(Null),3,0,0,0,3,3.14
2024-06-25,(Null),3,0,0,0,0,3.14
2023-07-12,(Null),3,0,0,0,0,2.71
2023-08-22,(Null),3,0,0,0,0,3.71
2023-11-17,(Null),3,0,0,0,0,3.0
2023-12-12,(Null),3,0,0,0,0,5.57
2022-12-04,(Null),3,0,0,0,3,3.71
2024-05-11,(Null),3,0,0,0,3,2.71
2024-10-15,(Null),3,0,0,0,0,3.0
2023-05-14,(Null),3,0,0,0,3,2.0
2024-07-30,(Null),3,0,0,0,0,3.0
2024-09-01,(Null),3,0,0,0,3,2.71
2024-06-15,(Null),3,0,0,0,3,2.29
2022-12-21,(Null),3,0,0,0,0,2.71
2024-11-22,(Null),3,0,0,0,0,3.57
2024-12-29,(Null),3,0,0,0,3,2.43
2023-02-10,(Null),3,0,0,0,0,2.57
2023-08-09,(Null),3,0,0,0,0,3.0
2022-11-20,(Null),3,0,0,0,3,4.33
